Id;Name;Host Id;Host Name;Neighbourhood Group;Neighbourhood;Latitude;Longitude;Room Type;Price;Minimum Nights;Number of Reviews;Last Review;Reviews per Month;Calculated Host Listings Count;Availability 365;Coordonnees
3088666;3-room apt + Parking, 100m Paris;5206022;Yannis;;Ménilmontant;48.865410657316005;2.4059811739079353;Entire home/apt;80;15;1;2015-08-24;1.0;1;150;48.8654106573, 2.40598117391
6893144;Appartement-terrasse Paris 20eme;10681943;Nathalie;;Ménilmontant;48.87288055171659;2.3924182154481923;Entire home/apt;120;1;1;2015-08-19;1.0;1;50;48.8728805517, 2.39241821545
2117078;Nice flat quiet and comfortable!;10794113;Giulio;;Ménilmontant;48.86632417663376;2.384976166820247;Entire home/apt;45;3;2;2015-07-28;1.25;1;41;48.8663241766, 2.38497616682
7269415;Paris 20 : Joli F1 lumineux;8548194;Cecile;;Ménilmontant;48.84999021140778;2.405228042706191;Entire home/apt;45;1;0;;;1;28;48.8499902114, 2.40522804271
4337851;The Aristocats' house !;10379833;Emilie;;Ménilmontant;48.87454163652606;2.387496992597548;Entire home/apt;90;2;13;2015-08-17;1.34;1;254;48.8745416365, 2.3874969926
3665467;Cosy Studio with beautiful view!;4146588;;;Ménilmontant;48.86279948682575;2.398762894261681;Entire home/apt;55;1;0;;;1;365;48.8627994868, 2.39876289426
6483474;Very cosy and sunny apartment -35m2;21047447;Victor;;Ménilmontant;48.85760910795961;2.3989864481447594;Entire home/apt;50;1;0;;;1;357;48.857609108, 2.39898644814
6874444;Sunny flat near belleville' s park;26640127;Pauline Et Camille;;Ménilmontant;48.87095045634561;2.386973557180366;Entire home/apt;60;5;0;;;1;52;48.8709504563, 2.38697355718
4877065;Grande chambre dans le 20ème;3182253;Irene;;Ménilmontant;48.86425218784601;2.408146614479957;Private room;30;1;0;;;1;229;48.8642521878, 2.40814661448
3579830;Nice 2 bedrooms in center of Paris;13097424;Solène;;Ménilmontant;48.866529200768625;2.3861750195899885;Entire home/apt;100;2;1;2015-01-02;0.12;1;0;48.8665292008, 2.38617501959
