danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.42200000000000004,261160,0.7120000000000001,0.0,11,0.051,-5.907,0,0.1,78.454,4,0.47100000000000003
0.758,164133,0.6970000000000001,0.0,10,0.0887,-5.614,0,0.0859,154.969,4,0.5589999999999999
0.475,31200,0.00543,9.63e-05,7,0.113,-20.584,1,0.0996,135.578,5,0.568
0.32,241067,0.7340000000000001,0.000109,10,0.165,-4.021,1,0.0331,113.34,4,0.185
0.601,312347,0.863,0.0,0,0.0717,-4.31,1,0.0685,130.189,4,0.6759999999999999
0.863,142840,0.46399999999999997,0.0,1,0.0938,-10.559000000000001,1,0.34600000000000003,75.5,4,0.5660000000000001
0.8,317881,0.68,0.0,8,0.136,-5.361000000000001,0,0.0616,147.99,4,0.341
0.547,181913,0.289,0.0,0,0.14800000000000002,-8.131,1,0.0348,104.851,3,0.213
0.5379999999999999,205440,0.409,0.0,9,0.11,-6.581,0,0.0505,171.838,4,0.265
0.736,169999,0.67,0.0,10,0.114,-6.702000000000001,1,0.311,130.032,4,0.845
0.35,206347,0.23199999999999998,9.21e-06,4,0.292,-11.042,1,0.0331,93.26899999999999,3,0.381
